episode,timestep,reward
48,1000,14.3333
100,2000,8.8077
142,3000,11.9524
180,4000,18.3947
220,5000,19.725
262,6000,21.619
294,7000,24.8125
330,8000,24.5278
357,9000,33.5556
385,10000,31.5357
413,11000,34.7857
445,12000,29.25
475,13000,34.1667
501,14000,37.7692
523,15000,36.1818
541,16000,49.5
561,17000,51.05
579,18000,40.6667
598,19000,46.6316
620,20000,44.0
637,21000,53.8824
655,22000,53.3889
678,23000,39.6087
701,24000,38.4783
722,25000,42.0476
743,26000,45.7143
762,27000,49.2632
779,28000,57.3529
794,29000,54.5333
816,30000,48.3636
833,31000,59.7647
852,32000,49.5263
869,33000,55.4706
888,34000,55.9474
906,35000,53.7778
924,36000,56.8889
942,37000,53.3333
959,38000,56.0
976,39000,49.4118
994,40000,53.2222
1010,41000,57.9375
1025,42000,62.8667
1041,43000,61.25
1060,44000,49.7368
1077,45000,56.0
1096,46000,49.4737
1114,47000,53.2222
1131,48000,50.1765
1151,49000,51.3
1168,50000,55.3529
1185,51000,53.0
1202,52000,57.8824
1217,53000,64.0
1234,54000,57.5294
1250,55000,58.6875
1266,56000,59.9375
1283,57000,52.2353
1300,58000,56.8235
1316,59000,63.25
1333,60000,52.2941
1350,61000,59.0
1363,62000,76.7692
1378,63000,66.8667
1394,64000,55.8125
1411,65000,61.1176
1428,66000,43.4118
1443,67000,65.2667
1461,68000,57.6667
1475,69000,63.2143
1491,70000,58.0625
1508,71000,57.4706
1525,72000,54.1765
1541,73000,59.8125
1556,74000,65.0667
1574,75000,56.5
1590,76000,61.125
1608,77000,53.7222
1625,78000,55.9412
1640,79000,66.3333
1655,80000,58.1333
1671,81000,62.1875
1686,82000,57.4
1704,83000,57.6111
1719,84000,62.2667
1733,85000,68.4286
1748,86000,48.4
1763,87000,69.0667
1777,88000,71.7857
1794,89000,58.4118
1809,90000,60.8667
1825,91000,60.625
1840,92000,54.2667
1853,93000,68.0769
1870,94000,58.0
1886,95000,64.0625
1903,96000,59.2941
1917,97000,59.6429
1934,98000,53.1765
1951,99000,59.7059
1966,100000,64.4
1981,101000,66.6667
1997,102000,57.75
2011,103000,64.2857
2030,104000,47.3158
2045,105000,62.4667
2061,106000,55.9375
2079,107000,53.6667
2094,108000,68.4
2110,109000,61.875
2126,110000,64.625
2140,111000,64.3571
2157,112000,53.1176
2171,113000,63.7143
2185,114000,66.5
2201,115000,63.5
2218,116000,58.7647
2232,117000,67.5
2246,118000,71.5
2262,119000,62.5625
2276,120000,69.5714
2291,121000,57.6667
2307,122000,64.0625
2323,123000,55.5625
2338,124000,70.0
2352,125000,69.0
2368,126000,64.875
2383,127000,58.6667
2400,128000,59.4706
2414,129000,71.3571
2431,130000,60.0
2443,131000,80.0
2458,132000,62.5333
2474,133000,58.9375
2489,134000,65.0
2504,135000,67.6667
2519,136000,61.5333
2536,137000,54.1765
2551,138000,61.2667
2568,139000,56.5882
2584,140000,58.25
2601,141000,59.7647
2615,142000,70.2857
2628,143000,72.5385
2642,144000,65.4286
2657,145000,70.4
2673,146000,52.125
2688,147000,64.6667
2704,148000,61.1875
2719,149000,70.0667
2735,150000,57.125
2752,151000,53.1176
2765,152000,76.0769
2778,153000,74.2308
2792,154000,70.5714
2807,155000,64.2
2824,156000,54.2941
2838,157000,68.5714
2853,158000,62.5333
2868,159000,61.6667
2883,160000,64.0667
2898,161000,69.6667
2914,162000,64.4375
2929,163000,60.8667
2945,164000,63.125
2959,165000,69.7143
2975,166000,54.8125
2992,167000,59.5882
3006,168000,72.2143
3020,169000,67.1429
3034,170000,68.9286
3046,171000,77.0
3061,172000,58.8667
3075,173000,73.7857
3091,174000,57.0625
3107,175000,57.375
3124,176000,55.7647
3139,177000,66.1333
3153,178000,70.8571
3169,179000,63.5625
3183,180000,67.7143
3200,181000,58.4706
3214,182000,71.5
3229,183000,64.3333
3243,184000,70.0
3256,185000,78.8462
3272,186000,63.125
3287,187000,64.2667
3302,188000,53.3333
3318,189000,61.125
3333,190000,62.6
3347,191000,65.7857
3361,192000,68.5714
3375,193000,66.9286
3391,194000,65.1875
3405,195000,69.2143
3420,196000,68.6
3435,197000,63.9333
3451,198000,56.9375
3468,199000,61.6471
3483,200000,63.7333
3499,201000,57.0625
3513,202000,66.9286
3529,203000,55.875
3541,204000,71.5
3556,205000,72.5333
3572,206000,62.6875
3586,207000,65.2143
3601,208000,65.8667
3616,209000,63.1333
3629,210000,74.1538
3645,211000,64.5
3659,212000,70.7857
3673,213000,51.8571
3688,214000,58.1333
3702,215000,64.9286
3718,216000,65.1875
3733,217000,67.1333
3747,218000,70.2857
3763,219000,59.5
3776,220000,76.5385
3791,221000,64.0667
3805,222000,72.2857
3818,223000,74.2308
3836,224000,53.6111
3851,225000,66.4667
3864,226000,76.3077
3879,227000,61.0667
3892,228000,65.2308
3907,229000,60.9333
3922,230000,66.8667
3937,231000,60.8
3952,232000,65.4667
3966,233000,71.2143
3979,234000,75.2308
3994,235000,62.6667
4010,236000,55.875
4024,237000,74.0
4036,238000,72.5
4052,239000,59.625
4066,240000,66.9286
4081,241000,61.4
4096,242000,66.7333
4113,243000,59.2941
4128,244000,68.7333
4141,245000,69.7692
4154,246000,61.3846
4169,247000,65.2667
4187,248000,55.5
4202,249000,67.2667
4215,250000,71.6923
4229,251000,72.9286
4244,252000,62.9333
4256,253000,72.25
4272,254000,58.6875
4284,255000,76.0
4298,256000,76.5
4313,257000,62.4667
4327,258000,73.0714
4340,259000,75.4615
4354,260000,71.6429
4368,261000,60.9286
4381,262000,64.0
4397,263000,58.25
4411,264000,59.9286
4426,265000,67.4
4440,266000,61.0714
4452,267000,83.5
4466,268000,75.0714
4481,269000,61.7333
4495,270000,69.4286
4510,271000,68.0667
4524,272000,73.3571
4539,273000,65.6
4554,274000,63.1333
4567,275000,71.6154
4579,276000,78.1667
4593,277000,73.2143
4608,278000,64.9333
4621,279000,75.9231
4637,280000,63.75
4650,281000,49.3846
4663,282000,49.6923
4677,283000,56.7143
4690,284000,69.6923
4705,285000,62.9333
4718,286000,75.6923
4732,287000,69.1429
4748,288000,65.5
4759,289000,89.3636
4773,290000,63.0
4786,291000,79.8462
4799,292000,66.0769
4814,293000,63.6667
4828,294000,67.0
4842,295000,67.2143
4855,296000,69.8462
4869,297000,71.0
4883,298000,66.7857
4898,299000,59.4667
4912,300000,69.8571
4927,301000,63.7333
4939,302000,74.4167
4958,303000,57.3684
4974,304000,58.6875
4988,305000,70.9286
5001,306000,75.8462
5014,307000,73.3846
5028,308000,68.0714
5042,309000,64.0
5056,310000,68.0
5072,311000,63.0
5086,312000,70.7143
5099,313000,80.9231
5112,314000,68.9231
5127,315000,61.3333
5142,316000,65.4
5156,317000,68.5714
5173,318000,59.2353
5187,319000,71.8571
5202,320000,62.1333
5215,321000,76.2308
5229,322000,66.7143
5243,323000,72.2857
5258,324000,62.5333
5272,325000,65.0
5286,326000,68.3571
5300,327000,69.9286
5316,328000,61.3125
5329,329000,70.4615
5344,330000,71.6667
5355,331000,72.9091
5372,332000,55.6471
5385,333000,76.2308
5402,334000,59.8824
5417,335000,53.5333
5433,336000,55.75
5448,337000,61.0
5461,338000,72.2308
5475,339000,71.6429
5490,340000,58.8667
5505,341000,64.3333
5515,342000,91.6
5529,343000,73.8571
5542,344000,70.6154
5556,345000,66.0
5570,346000,72.2143
5584,347000,71.1429
