episode,timestep,reward
39,800,20.4872
65,1600,30.3077
98,2400,24.0
130,3200,24.9688
148,4000,44.7778
170,4800,35.2273
183,5600,62.0769
199,6400,48.625
207,7200,106.75
214,8000,101.0
221,8800,127.0
229,9600,93.125
236,10400,107.4286
241,11200,153.8
245,12000,234.0
248,12800,221.6667
252,13600,208.75
256,14400,190.25
258,15200,339.5
261,16000,307.0
264,16800,253.6667
269,17600,188.2
272,18400,240.0
275,19200,305.0
277,20000,344.0
279,20800,352.5
283,21600,212.75
286,22400,297.6667
288,23200,370.5
290,24000,302.0
294,24800,256.25
297,25600,260.0
300,26400,256.3333
304,27200,226.25
307,28000,269.6667
310,28800,254.6667
312,29600,308.0
315,30400,331.0
317,31200,400.0
319,32000,382.5
321,32800,325.5
324,33600,317.0
326,34400,320.5
329,35200,319.3333
331,36000,400.0
333,36800,400.0
335,37600,400.0
337,38400,400.0
339,39200,400.0
341,40000,400.0
343,40800,400.0
345,41600,400.0
347,42400,400.0
349,43200,400.0
351,44000,400.0
353,44800,400.0
355,45600,400.0
357,46400,400.0
359,47200,400.0
361,48000,400.0
363,48800,400.0
365,49600,400.0
367,50400,400.0
369,51200,400.0
371,52000,400.0
373,52800,400.0
375,53600,400.0
377,54400,400.0
379,55200,400.0
381,56000,400.0
383,56800,400.0
385,57600,400.0
387,58400,400.0
389,59200,400.0
391,60000,400.0
393,60800,400.0
395,61600,400.0
397,62400,400.0
399,63200,400.0
401,64000,400.0
403,64800,352.5
405,65600,351.5
407,66400,400.0
409,67200,400.0
411,68000,400.0
413,68800,400.0
415,69600,400.0
417,70400,400.0
419,71200,400.0
421,72000,400.0
423,72800,400.0
425,73600,400.0
427,74400,400.0
429,75200,400.0
431,76000,400.0
433,76800,400.0
435,77600,400.0
437,78400,400.0
439,79200,400.0
441,80000,361.5
443,80800,400.0
445,81600,400.0
448,82400,381.6667
450,83200,360.0
452,84000,400.0
454,84800,400.0
456,85600,363.5
458,86400,396.5
460,87200,400.0
462,88000,399.5
464,88800,381.5
467,89600,276.3333
469,90400,400.0
471,91200,400.0
473,92000,383.0
476,92800,269.3333
479,93600,292.3333
482,94400,264.3333
485,95200,312.3333
487,96000,321.5
489,96800,349.5
492,97600,352.0
494,98400,340.0
496,99200,285.0
499,100000,378.3333
