episode,timestep,reward
14,3000,-88.1178
41,6000,-97.5018
70,9000,-98.8233
85,12000,-95.0924
110,15000,-101.5862
121,18000,-88.3599
144,21000,-94.5011
173,24000,-95.85
199,27000,-98.2556
225,30000,-94.9902
238,33000,-93.3679
254,36000,-98.315
269,39000,-91.418
293,42000,-95.3363
318,45000,-100.401
322,48000,-61.1698
325,51000,-75.1588
353,54000,-96.7293
358,57000,-76.5734
369,60000,-80.8413
378,63000,-84.3036
385,66000,-81.7642
390,69000,-77.3758
402,72000,-92.7568
415,75000,-83.0724
430,78000,-89.676
440,81000,-92.9398
442,84000,-12.5238
450,87000,-89.5727
456,90000,-66.7772
460,93000,-55.8362
464,96000,-59.6848
468,99000,-79.5624
