episode,timestep,reward
64,1000,45.4914
131,2000,46.8703
211,3000,39.9142
287,4000,43.2906
365,5000,39.539
433,6000,50.5617
509,7000,42.9195
585,8000,43.7123
657,9000,45.6052
737,10000,40.3424
811,11000,41.5604
891,12000,41.1642
953,13000,51.6732
1019,14000,51.9908
1099,15000,38.7457
1165,16000,47.7293
1235,17000,45.9838
1309,18000,41.871
1378,19000,45.5619
1448,20000,42.8392
1514,21000,48.3553
1578,22000,49.7153
1637,23000,49.744
1702,24000,46.7052
1772,25000,43.7815
1836,26000,43.9543
1900,27000,48.9805
1973,28000,40.0862
2044,29000,43.9214
2110,30000,49.8089
2173,31000,51.398
2236,32000,53.1578
2305,33000,46.8139
2382,34000,40.9337
2456,35000,42.7004
2527,36000,44.1638
2596,37000,45.3467
2662,38000,42.3382
2735,39000,43.0663
2796,40000,49.3279
2866,41000,39.5594
2932,42000,44.5738
2999,43000,45.9811
3062,44000,45.0081
3129,45000,46.6058
3190,46000,48.8093
3264,47000,40.7104
3321,48000,49.089
3399,49000,38.1603
3459,50000,47.3268
3531,51000,41.3792
3590,52000,49.6491
3654,53000,45.7381
3717,54000,48.0476
3783,55000,43.715
3856,56000,43.5416
3928,57000,41.5795
3996,58000,43.7959
4056,59000,53.0831
