episode,timestep,reward
56,1000,16.5
120,2000,14.6562
239,3000,7.5042
360,4000,7.281
478,5000,7.4831
596,6000,7.4322
710,7000,7.7632
826,8000,7.681
939,9000,7.8584
1055,10000,7.6207
1160,11000,8.4952
1265,12000,8.5429
1370,13000,8.5143
1473,14000,8.6796
1568,15000,9.5263
1672,16000,8.6346
1765,17000,9.7312
1851,18000,10.6163
1937,19000,10.6279
2025,20000,10.375
2111,21000,10.686
2201,22000,10.0889
2285,23000,10.7024
2370,24000,10.9529
2444,25000,12.3378
2532,26000,10.5341
2615,27000,10.9157
2697,28000,11.2195
2781,29000,11.0
2855,30000,12.4054
2927,31000,13.0278
3004,32000,11.8571
3082,33000,11.9487
3167,34000,10.7529
3251,35000,10.6786
3329,36000,11.7692
3408,37000,11.8481
3492,38000,10.9643
3567,39000,12.3467
3641,40000,12.4324
3714,41000,12.8082
3783,42000,13.4783
3858,43000,12.24
3935,44000,11.9481
4013,45000,11.859
4091,46000,11.9231
4167,47000,12.1316
4249,48000,11.1098
4320,49000,13.0563
4397,50000,12.1299
4460,51000,14.746
4536,52000,12.2368
4610,53000,12.5405
4675,54000,14.2769
4748,55000,12.7123
4820,56000,12.875
4891,57000,13.169
4957,58000,14.0758
5018,59000,15.1967
5091,60000,12.9452
5164,61000,12.5616
5240,62000,12.2895
5314,63000,12.473
5392,64000,11.8718
5453,65000,15.0
5527,66000,12.7973
5591,67000,14.4844
5654,68000,14.9206
5724,69000,13.3429
5794,70000,13.2714
5864,71000,13.0857
5931,72000,14.0448
6000,73000,13.6232
6069,74000,13.4783
6135,75000,14.1515
6204,76000,13.2029
6273,77000,13.5652
6346,78000,12.7123
6421,79000,12.48
6490,80000,13.5362
6558,81000,13.7059
6625,82000,13.6716
6691,83000,14.4242
6753,84000,15.1452
6818,85000,14.0462
6880,86000,15.0
6941,87000,15.7377
7010,88000,13.6232
7080,89000,13.2143
7141,90000,15.4918
7218,91000,11.8442
7282,92000,14.75
7350,93000,13.3824
7416,94000,14.4394
7484,95000,13.3088
7551,96000,14.3881
7615,97000,14.5469
7676,98000,15.459
7748,99000,12.8611
7817,100000,13.4493
7880,101000,14.9048
7946,102000,14.0758
8010,103000,14.75
8083,104000,12.7534
8152,105000,13.2754
8218,106000,13.9697
8280,107000,15.5
8339,108000,15.9322
8402,109000,14.4921
8469,110000,14.2537
8543,111000,12.6081
8605,112000,15.0806
8679,113000,12.5
8752,114000,12.6301
8827,115000,12.36
8900,116000,12.6301
8953,117000,17.9811
9020,118000,13.9104
9079,119000,15.4576
9150,120000,13.2676
9218,121000,14.0441
9285,122000,13.791
9349,123000,14.7031
9408,124000,15.7458
9481,125000,12.7123
9542,126000,15.3279
9605,127000,15.1587
9674,128000,13.4638
9742,129000,13.6324
9816,130000,12.5541
9881,131000,14.3692
9940,132000,15.5763
10005,133000,14.6769
10069,134000,14.75
10133,135000,14.4688
10203,136000,13.2571
10264,137000,15.3607
10342,138000,11.8846
10406,139000,14.7656
10474,140000,13.6765
10533,141000,15.7797
10595,142000,15.2742
10671,143000,12.0526
10740,144000,13.4928
10812,145000,13.0556
10881,146000,13.3333
10950,147000,13.6232
11008,148000,16.0345
11078,149000,13.4714
11148,150000,13.1857
11214,151000,14.2424
11280,152000,14.1515
11356,153000,12.1053
11429,154000,12.6986
11493,155000,14.625
11570,156000,11.9481
11647,157000,11.974
11713,158000,14.0606
11783,159000,13.3714
11852,160000,13.4058
11913,161000,15.5574
11975,162000,15.1613
12046,163000,12.6338
12117,164000,13.5493
12188,165000,13.1127
12250,166000,14.3387
12315,167000,15.0769
12382,168000,13.8806
12456,169000,12.6081
12522,170000,14.1364
12592,171000,13.1714
12667,172000,12.3867
12742,173000,12.3467
12805,174000,14.8095
12868,175000,14.9683
12928,176000,15.1833
13002,177000,12.7162
13072,178000,13.4571
13141,179000,13.4493
13204,180000,14.9206
13276,181000,12.9167
13337,182000,15.3607
13404,183000,13.9701
13464,184000,15.5167
13533,185000,13.5942
13605,186000,12.9444
13665,187000,15.5
13730,188000,14.0308
13796,189000,14.5606
13867,190000,13.0986
